stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
1538646,30008034,"Amsterdam, P. Hendrikkade (uitstaphalte)",52.376852,4.902387,0,stoparea:285522,null,1,null,null
14843,30001436,"Amsterdam, P.A. v. Heijningestraat",52.422067,4.89976,0,stoparea:2446,null,0,null,null
362221,57111530,"Amsterdam, P.A. van Heijningestraat",52.422067,4.89976,0,null,null,1,null,CXX:57111530
1420040,57111540,"Amsterdam, P.A. van Heijningestraat",52.422137,4.899363,0,null,null,1,null,CXX:57111540
103890,30008299,"Amsterdam, P.Oosterhuisstraat",52.351972,5.00794,0,stoparea:2801,null,1,null,null
103868,30008300,"Amsterdam, P.Oosterhuisstraat",52.351933,5.006928,0,stoparea:2801,null,1,null,null
672981,57253480,"Amsterdam, Paasheuvelweg",52.296301,4.9551,0,stoparea:197940,null,1,null,null
675710,57253490,"Amsterdam, Paasheuvelweg",52.296762,4.955873,0,stoparea:197940,null,1,null,null
1301867,30004163,"Amsterdam, Parkeerdek",52.342346,4.828643,0,stoparea:246316,null,1,null,null
1480617,30007270,"Amsterdam, Parnassusweg",52.338062,4.86874,0,stoparea:2734,null,0,null,null
15016,30007271,"Amsterdam, Parnassusweg",52.338178,4.868665,0,stoparea:2734,null,1,null,null
1523004,30000051,"Amsterdam, Pekelharingstraat",52.345511,4.936526,0,stoparea:295941,null,1,null,null
1523003,30000052,"Amsterdam, Pekelharingstraat",52.345782,4.936773,0,stoparea:295941,null,1,null,null
322603,30008222,"Amsterdam, Peter Martensstraat",52.348819,5.013911,0,stoparea:110903,null,0,null,null
322604,30008223,"Amsterdam, Peter Martensstraat",52.34855,5.014207,0,stoparea:110903,null,1,null,null
14809,30001216,"Amsterdam, Petmolen",52.4179,4.885518,0,stoparea:2387,null,0,null,null
14808,30001219,"Amsterdam, Petmolen",52.417193,4.886232,0,stoparea:2387,null,0,null,null
495784,30008004,"Amsterdam, Piet Heinkade",52.377433,4.912719,0,stoparea:155281,null,0,null,null
14482,30004053,"Amsterdam, Piet Wiedijkstraat",52.355135,4.815374,0,stoparea:2456,null,1,null,null
1379027,30004054,"Amsterdam, Piet Wiedijkstraat",52.355216,4.815344,0,stoparea:2456,null,1,null,null
1524117,30004427,"Amsterdam, Pieter Calandlaan",52.350133,4.794259,0,stoparea:296191,null,0,null,null
1524116,30004428,"Amsterdam, Pieter Calandlaan",52.351408,4.793905,0,stoparea:296190,null,null,null,null
15251,30004403,"Amsterdam, Pilatus",52.352894,4.776961,0,stoparea:2917,null,1,null,null
15252,30004404,"Amsterdam, Pilatus",52.352965,4.776681,0,stoparea:2917,null,0,null,null
14833,30001189,"Amsterdam, Pinksterbloemstraat",52.398525,4.912214,0,stoparea:2430,null,null,null,null
14730,30001191,"Amsterdam, Pinksterbloemstraat",52.398812,4.912035,0,stoparea:2430,null,0,null,null
2220750,30008036,"Amsterdam, Plantage Kerklaan",52.366157,4.911548,0,stoparea:356347,null,1,null,null
2220749,30008037,"Amsterdam, Plantage Kerklaan",52.365841,4.911199,0,stoparea:356347,null,0,null,null
1689910,30008046,"Amsterdam, Plantage Lepellaan",52.36522,4.915287,0,stoparea:339161,null,1,null,null
2220756,30008170,"Amsterdam, Plantage Parklaan",52.367993,4.909898,0,stoparea:356349,null,0,null,null
15703,30002200,"Amsterdam, Pleimuiden",52.391807,4.784873,0,stoparea:2482,null,0,null,null
15713,30003087,"Amsterdam, Plein '40 - '45",52.381594,4.820629,0,stoparea:2502,null,0,null,null
14453,30003129,"Amsterdam, Plein '40 - '45",52.380751,4.821124,0,stoparea:2502,null,null,null,null
15892,30003130,"Amsterdam, Plein '40 - '45",52.381208,4.822675,0,stoparea:2502,null,null,null,null
415533,57130090,"Amsterdam, Plein '40-45",52.381108,4.822544,0,stoparea:123194,null,0,null,CXX:57130090
418083,57130160,"Amsterdam, Plein '40-45",52.381719,4.820627,0,stoparea:123194,null,1,null,CXX:57130160
1524122,30004326,"Amsterdam, Plesmanlaan",52.350634,4.810163,0,stoparea:2805,null,0,null,null
15848,30004327,"Amsterdam, Plesmanlaan",52.350582,4.810442,0,stoparea:2805,null,0,null,null
15799,30002309,"Amsterdam, Plesostraat",52.387949,4.826453,0,stoparea:2707,null,0,null,null
15886,30002310,"Amsterdam, Plesostraat",52.387886,4.828495,0,stoparea:2707,null,0,null,null
15512,30001369,"Amsterdam, Pomonastraat",52.408864,4.895467,0,stoparea:2893,null,1,null,null
1377845,30001370,"Amsterdam, Pomonastraat",52.408828,4.895468,0,stoparea:2893,null,0,null,null
14840,30008103,"Amsterdam, Pontanusstraat",52.365926,4.928097,0,stoparea:2437,null,1,null,null
14841,30008104,"Amsterdam, Pontanusstraat",52.365923,4.927231,0,stoparea:2437,null,1,null,null
1522966,30009900,"Amsterdam, Pontsteiger",52.393107,4.886445,0,stoparea:295934,null,0,null,null
15847,30004324,"Amsterdam, Postjesweg",52.365057,4.834024,0,stoparea:2804,null,1,null,null
15846,30004325,"Amsterdam, Postjesweg",52.364678,4.833853,0,stoparea:2804,null,1,null,null
1523005,30006015,"Amsterdam, Postjesweg",52.363527,4.853159,0,stoparea:295939,null,0,null,null
1544358,30006115,"Amsterdam, Postjesweg",52.364785,4.853188,0,stoparea:295939,null,1,null,null
14741,30009064,"Amsterdam, Pres. Kennedylaan",52.340871,4.901738,0,stoparea:2472,null,0,null,null
14740,30009065,"Amsterdam, Pres. Kennedylaan",52.340953,4.901898,0,stoparea:2472,null,1,null,null
15517,30004390,"Amsterdam, Presanella",52.351797,4.7768,0,stoparea:2900,null,null,null,null
1377856,30009030,"Amsterdam, Prins Bernhardplein",52.348693,4.918105,0,stoparea:2392,null,0,null,null
14438,30009031,"Amsterdam, Prins Bernhardplein",52.349196,4.917791,0,stoparea:2392,null,0,null,null
14400,30008031,"Amsterdam, Prins Hendrikkade",52.374479,4.904557,0,stoparea:2516,null,1,null,null
326934,57003020,"Amsterdam, Prins Hendrikkade",52.373409,4.906624,0,stoparea:111522,null,0,null,null
326895,57003031,"Amsterdam, Prins Hendrikkade",52.376977,4.902165,0,stoparea:111522,null,0,null,null
2032082,57003031,"Amsterdam, Prins Hendrikkade",52.376807,4.902431,0,stoparea:123611,null,0,null,CXX:57003031
326872,57003040,"Amsterdam, Prins Hendrikkade",52.373908,4.905782,0,stoparea:111522,null,0,null,null
1541459,57003041,"Amsterdam, Prins Hendrikkade",52.373846,4.905782,0,stoparea:123611,null,0,null,CXX:57003041
15233,30006071,"Amsterdam, Prinsengracht",52.365094,4.884647,0,stoparea:2634,null,1,null,null
15232,30006072,"Amsterdam, Prinsengracht",52.364957,4.884282,0,stoparea:2634,null,0,null,null
14953,30008062,"Amsterdam, Prinsengracht",52.361981,4.898996,0,stoparea:2363,null,1,null,null
14954,30008063,"Amsterdam, Prinsengracht",52.362241,4.898935,0,stoparea:2363,null,0,null,null
1762152,30007130,"Amsterdam, Prinses Irenestraat",52.342023,4.868194,0,stoparea:341526,null,1,null,null
1762151,30007131,"Amsterdam, Prinses Irenestraat",52.34303,4.868329,0,stoparea:341526,null,1,null,null
1762005,30007186,"Amsterdam, Prinses Irenestraat",52.3426,4.876772,0,stoparea:341499,null,0,null,null
1762006,30007187,"Amsterdam, Prinses Irenestraat",52.34313,4.876781,0,stoparea:341499,null,0,null,null
2220647,57142170,"Amsterdam, Prinses Irenestraat",52.342968,4.876885,0,null,null,1,null,CXX:57142170
2218584,57142210,"Amsterdam, Prinses Irenestraat",52.34268,4.876727,0,null,null,1,null,CXX:57142210
2219090,57251940,"Amsterdam, Provincialeweg",52.327683,4.971914,0,stoparea:356138,null,0,null,CXX:57251940
2220419,57251951,"Amsterdam, Provincialeweg",52.328552,4.973534,0,stoparea:356138,null,null,null,CXX:57251951
14630,30001058,"Amsterdam, Purmerplein",52.390782,4.945865,0,stoparea:2716,null,0,null,null
